Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
435000,1,0,0,0,3,103,62,1655,0,0
590000,1,0,0,0,1,103,74,2616,0,0
415000,1,0,0,0,1,30,85,2409,0,0
545000,1,0,0,0,1,75,102,3212,0,0
540000,1,0,0,0,1,22,81,3244,1,0
480000,1,0,0,0,1,22,90,3212,1,1
615000,1,0,0,0,1,56,103,3989,1,1
487000,1,0,0,0,1,41,82,3374,1,1
530000,1,0,0,0,1,19,98,3071,1,0
440000,1,0,0,0,1,37,62,2300,1,1
995000,1,0,0,0,2,115,146,5424,0,0
535000,1,0,0,0,1,56,104,3018,1,1
560000,1,0,0,0,1,21,86,3009,1,0
1065000,1,0,0,0,1,71,178,6350,1,0
667000,1,0,0,0,1,56,102,3821,0,0
204000,1,0,0,0,2,56,127,3814,1,0
711000,1,0,0,0,1,115,102,5073,0,0
645000,1,0,0,0,1,115,102,3478,1,1
620000,1,0,0,0,1,115,104,3791,1,0
572000,1,0,0,0,1,56,100,3416,1,1
399000,1,0,0,0,1,14,69,2322,0,1
678000,1,0,0,0,2,37,101,3274,0,1
570000,1,0,0,0,1,11,87,3904,1,0
625000,1,0,0,0,1,115,102,2695,1,1
688000,1,0,0,0,1,115,122,3743,1,0
592000,1,0,0,0,1,115,83,3377,1,1
400000,1,0,0,0,1,104,66,2930,1,0
535000,1,0,0,0,1,10,65,3276,1,1
975000,1,0,0,0,1,21,104,6023,1,0
405000,1,0,0,0,1,20,52,2296,1,0
602000,1,0,0,0,2,61,83,4012,1,1
329000,1,0,0,0,1,20,39,1807,1,1
690000,1,0,0,0,1,73,99,4410,1,0
730000,1,0,0,0,1,73,117,4714,1,0
483000,1,0,0,0,1,25,79,2980,1,1
289000,1,0,0,0,1,8,43,1676,1,1
1635000,1,0,0,0,1,99,253,5669,1,1
342500,1,0,0,0,1,56,50,2500,1,1
850000,1,0,0,0,2,94,139,4243,1,0
400000,1,0,0,0,1,28,55,2477,0,1
410000,1,0,0,0,1,21,77,2328,1,1
600000,1,0,0,0,1,73,91,3496,1,0
395000,1,0,0,0,1,28,76,2241,0,1
813000,1,0,0,0,1,24,94,4542,1,1
1000000,1,0,0,0,2,18,79,4985,1,0
502000,1,0,0,0,1,21,103,3919,1,1
590000,1,0,0,0,1,37,98,3021,1,1
790000,1,0,0,0,2,28,80,4042,1,1
751500,1,0,0,0,1,10,60,4278,1,1
597000,1,0,0,0,1,66,78,2952,1,1
605000,1,0,0,0,1,27,95,3656,0,1
620000,1,0,0,0,1,27,108,4358,0,0
367540,1,0,0,0,1,56,45,1658,1,1
695000,1,0,0,0,2,25,100,4225,1,1
865000,1,0,0,0,1,12,128,4441,1,0
1025018,1,0,0,0,1,106,171,6433,1,1
408000,1,0,0,0,1,21,66,2206,1,0
665000,1,0,0,0,1,73,99,3896,1,0
425000,1,0,0,0,1,25,81,2839,0,1
535000,1,0,0,0,1,8,70,3093,1,1
828000,1,0,0,0,1,73,115,4529,1,0
710000,1,0,0,0,1,115,255,2470,1,0
603400,1,0,0,0,1,15,46,2496,0,1
603400,1,0,0,0,1,15,45,2496,0,1
530000,1,0,0,0,1,15,117,3301,0,1
600000,1,0,0,0,1,115,88,3634,1,1
1762500,1,0,0,0,2,115,181,6370,0,1
455000,1,0,0,0,1,32,69,2270,0,0
800000,1,0,0,0,1,115,131,5319,0,0
490000,1,0,0,0,1,31,81,2633,0,0
978000,1,0,0,0,1,36,119,5117,0,1
715000,1,0,0,0,1,125,101,4344,1,0
470000,1,0,0,0,1,32,66,2164,0,0
465000,1,0,0,0,1,115,80,2972,0,0
800000,1,0,0,0,1,56,94,4906,0,0
549000,1,0,0,0,1,110,78,3477,0,1
255748,1,0,0,0,1,115,37,1676,1,1
470000,1,0,0,0,1,21,78,3168,1,0
370000,1,0,0,0,1,18,50,2095,1,0
640000,1,0,0,0,1,18,94,4004,1,1
687000,1,0,0,0,1,115,97,3800,1,1
607000,1,0,0,0,1,36,86,3969,0,1
535000,1,0,0,0,1,18,76,3156,1,0
850000,1,0,0,0,1,56,123,4293,0,0
631000,1,0,0,0,1,56,99,3651,0,0
