Prix_de_vente,Etage,Age,Aire_Batiment,Aire_Lot,Prox_Riverain
166000,2,54,159,446,0
190000,1,80,70,446,0
200000,2,36,184,438,0
214829,1,63,96,903,1
260000,1,85,55,426,0
260000,1,85,55,426,0
300000,1,87,143,466,0
310000,1,80,121,465,0
325000,1,65,117,353,0
340000,1,78,64,242,0
350000,1,78,116,524,1
350000,1,78,116,524,1
370000,1,78,89,445,0
370000,1,21,111,190,0
399000,1,30,52,185,0
400000,2,32,108,141,0
400000,1,84,97,446,0
410000,1,68,109,727,0
420000,1,90,123,423,0
420000,1,48,126,759,0
421000,1,53,89,566,0
432000,1,47,84,695,0
440000,2,19,201,1220,0
440000,1,33,80,353,0
445000,1,29,81,279,0
447500,2,32,107,185,0
450000,2,28,120,279,0
450000,1,28,81,367,0
450000,2,32,107,185,0
450000,1,24,76,325,0
450000,2,44,111,372,0
451500,1,54,80,527,0
460000,1,66,80,571,0
475000,1,37,72,590,0
480000,1,26,77,275,0
480000,1,27,81,323,0
480000,1,85,151,929,0
481000,1,66,102,913,0
482500,1,83,121,506,0
483000,1,34,82,465,0
485500,1,32,91,500,0
492200,1,30,69,279,0
495000,1,35,70,420,0
495000,1,35,69,395,0
496100,1,37,71,455,0
500000,2,17,139,403,0
500000,1,53,80,555,0
500000,1,46,126,658,0
500000,1,25,80,276,0
500000,2,95,123,418,0
500000,1,68,97,610,0
505000,1,40,91,477,0
515000,1,50,89,648,0
515000,2,31,107,315,0
516000,1,40,91,470,0
520000,1,51,90,512,0
520000,1,40,92,477,0
530000,1,28,81,279,0
531000,1,24,88,364,0
535000,1,36,85,403,0
542500,1,44,96,722,0
544000,1,53,98,722,0
545000,1,28,142,604,1
548500,1,46,93,748,0
549900,2,9,132,565,0
550000,2,38,169,623,0
551000,2,28,120,283,0
557900,1,27,89,465,0
565000,1,37,85,366,0
570000,2,15,139,199,0
585000,1,66,160,723,0
608000,1,50,154,786,0
614900,2,5,150,221,0
630000,1,76,158,669,1
639000,1,26,102,511,0
640000,1,44,85,532,0
643000,1,66,106,767,0
645000,1,40,163,650,0
680000,2,68,156,1202,1
730000,2,24,131,857,0
730000,2,22,160,835,0
745000,2,17,256,1593,0
750000,2,21,221,569,0
787000,2,18,131,598,0
800000,2,73,163,1177,1
819826,2,21,206,777,0
850000,2,22,224,1082,0
860000,2,19,210,664,0
863000,2,23,184,749,0
884000,2,20,231,999,0
900000,2,20,264,891,0
920000,2,5,239,511,0
935000,2,23,291,831,0
975000,2,20,223,1060,0 
